Quality;Description
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SimonFrancis==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'CallumWilson==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'JoshuaKing==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'SimonFrancis==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'CallumWilson==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'DanGosling==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SimonFrancis==1', 'CallumWilson==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SimonFrancis==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SimonFrancis==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CallumWilson==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CallumWilson==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'NathanAké==1', 'JoshuaKing==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'NathanAké==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'NathanAké==1', 'RyanFraser==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'NathanAké==1', 'DanGosling==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'JoshuaKing==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'AsmirBegović==1', 'RyanFraser==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'AsmirBegović==1', 'DanGosling==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'LewisDunk==1', 'DavyPröpper==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'LewisDunk==1', 'MatiasEzequielSchelotto==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'LewisDunk==1', 'MathewRyan==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'LewisDunk==1', 'DaleStephens==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'LewisDunk==1', 'GlennMurray==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'LewisDunk==1', 'GaëtanBongSongo==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'LewisDunk==1', 'PascalGroß==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'LewisDunk==1', 'ShaneDuffy==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'LewisDunk==1', 'AnthonyKnockaert==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'DavyPröpper==1', 'MathewRyan==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'DavyPröpper==1', 'DaleStephens==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'DavyPröpper==1', 'GlennMurray==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'DavyPröpper==1', 'GaëtanBongSongo==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'DavyPröpper==1', 'PascalGroß==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'DavyPröpper==1', 'ShaneDuffy==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'MatiasEzequielSchelotto==1', 'MathewRyan==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'MatiasEzequielSchelotto==1', 'ShaneDuffy==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'MathewRyan==1', 'DaleStephens==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'MathewRyan==1', 'GlennMurray==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'MathewRyan==1', 'GaëtanBongSongo==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'MathewRyan==1', 'PascalGroß==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'MathewRyan==1', 'ShaneDuffy==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'MathewRyan==1', 'AnthonyKnockaert==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'DaleStephens==1', 'GlennMurray==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'DaleStephens==1', 'GaëtanBongSongo==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'DaleStephens==1', 'PascalGroß==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'DaleStephens==1', 'ShaneDuffy==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'DaleStephens==1', 'AnthonyKnockaert==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'GlennMurray==1', 'PascalGroß==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'GlennMurray==1', 'ShaneDuffy==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'GaëtanBongSongo==1', 'PascalGroß==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'GaëtanBongSongo==1', 'ShaneDuffy==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'PascalGroß==1', 'ShaneDuffy==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'PascalGroß==1', 'AnthonyKnockaert==1']
(0, '-', 0, '-', 0);['JoséHeribertoIzquierdoMena==1', 'ShaneDuffy==1', 'AnthonyKnockaert==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'NicolásHernánOtamendi==1', 'RaheemShaquilleSterling==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'NicolásHernánOtamendi==1', 'FernandoLuizRosa==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'NicolásHernánOtamendi==1', 'KevinDeBruyne==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'NicolásHernánOtamendi==1', 'EdersonSantanadeMoraes==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'NicolásHernánOtamendi==1', 'KyleWalker==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'RaheemShaquilleSterling==1', 'KevinDeBruyne==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'RaheemShaquilleSterling==1', 'EdersonSantanadeMoraes==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'FernandoLuizRosa==1', 'KevinDeBruyne==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'FernandoLuizRosa==1', 'EdersonSantanadeMoraes==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'FernandoLuizRosa==1', 'KyleWalker==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'KevinDeBruyne==1', 'EdersonSantanadeMoraes==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'KevinDeBruyne==1', 'KyleWalker==1']
(0, '-', 0, '-', 0);['SergioLeonelAgüerodelCastillo==1', 'EdersonSantanadeMoraes==1', 'KyleWalker==1']
(0, '-', 0, '-', 0);['JoeHart==1', 'PabloJavierZabaletaGirod==1', 'AaronCresswell==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'ChrisSmalling==1', 'DaviddeGeaQuintana==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'ChrisSmalling==1', 'LuisAntonioValenciaMosquera==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'ChrisSmalling==1', 'AshleyYoung==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'ChrisSmalling==1', 'JesseLingard==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'ChrisSmalling==1', 'RomeluLukakuMenama==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'ChrisSmalling==1', 'NemanjaMatić==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'DaviddeGeaQuintana==1', 'LuisAntonioValenciaMosquera==1']
(0, '-', 0, '-', 0);['PaulPogba==1', 'DaviddeGeaQuintana==1', 'AnthonyMartial==1']
