Quality;Description
(0.21128246753246754, 'BGRU', 0.6294642857142857, 'BU', 0.41818181818181815);['deck_power_3==2', 'deck_GiantsAmulet', 'deck_types_None==0']
(0.21128246753246754, 'BGRU', 0.6294642857142857, 'BU', 0.41818181818181815);['deck_GiantsAmulet', 'deck_power_3==2', 'deck_types_None==0']
(0.21128246753246754, 'BGRU', 0.6294642857142857, 'BU', 0.41818181818181815);['deck_power_3==2', 'deck_GiantsAmulet']
(0.21128246753246754, 'BGRU', 0.6294642857142857, 'BU', 0.41818181818181815);['deck_GiantsAmulet', 'deck_power_3==2']
(0.2102340410622942, 'BGRU', 0.6244131455399061, 'BU', 0.4141791044776119);['deck_power_3==2', 'deck_GiantsAmulet', 'deck_types_Artifact==1']
(0.2102340410622942, 'BGRU', 0.6244131455399061, 'BU', 0.4141791044776119);['deck_GiantsAmulet', 'deck_power_3==2', 'deck_types_Artifact==1']
(0.20954278774609575, 'WBUG', 0.649171270718232, 'BU', 0.43962848297213625);['deck_power_5==1', 'deck_toughness_7==0', 'deck_toughness_6==1']
(0.20954278774609575, 'WBUG', 0.649171270718232, 'BU', 0.43962848297213625);['deck_power_5==1', 'deck_toughness_6==1', 'deck_toughness_7==0']
(0.20954278774609575, 'WBUG', 0.649171270718232, 'BU', 0.43962848297213625);['deck_toughness_6==1', 'deck_power_5==1', 'deck_toughness_7==0']
(0.20884773662551442, 'BURG', 0.6162551440329218, 'BU', 0.4074074074074074);['deck_toughness_2==2', 'deck_power_1==1', 'deck_types_Instant==1']
(0.20884773662551442, 'BURG', 0.6162551440329218, 'BU', 0.4074074074074074);['deck_power_1==1', 'deck_toughness_2==2', 'deck_types_Instant==1']
(0.20871509428062163, 'WBUG', 0.6327433628318584, 'BU', 0.42402826855123676);['deck_ShimmerdriftVale', 'deck_power_1==1', 'deck_toughness_None==7']
(0.20871509428062163, 'WBUG', 0.6327433628318584, 'BU', 0.42402826855123676);['deck_ShimmerdriftVale', 'deck_power_1==1', 'deck_power_None==7']
(0.20871509428062163, 'WBUG', 0.6327433628318584, 'BU', 0.42402826855123676);['deck_power_1==1', 'deck_ShimmerdriftVale', 'deck_toughness_None==7']
(0.20871509428062163, 'WBUG', 0.6327433628318584, 'BU', 0.42402826855123676);['deck_power_1==1', 'deck_ShimmerdriftVale', 'deck_power_None==7']
(0.2084309133489462, 'BUG', 0.6370023419203747, 'BU', 0.42857142857142855);['deck_ShimmerdriftVale', 'deck_power_1==1', 'deck_types_Instant==1']
(0.2084309133489462, 'BUG', 0.6370023419203747, 'BU', 0.42857142857142855);['deck_power_1==1', 'deck_ShimmerdriftVale', 'deck_types_Instant==1']
(0.20788530465949828, 'BURG', 0.6523297491039427, 'BU', 0.4444444444444444);['deck_toughness_6==1', 'deck_types_Creature==3', 'deck_types_Sorcery==1']
(0.20788530465949828, 'BURG', 0.6523297491039427, 'BU', 0.4444444444444444);['deck_types_Creature==3', 'deck_toughness_6==1', 'deck_types_Sorcery==1']
(0.20774180157741806, 'BURG', 0.6198630136986302, 'BU', 0.4121212121212121);['deck_ShimmerdriftVale', 'deck_power_1==1', 'deck_toughness_5==0']
(0.20774180157741806, 'BURG', 0.6198630136986302, 'BU', 0.4121212121212121);['deck_power_1==1', 'deck_ShimmerdriftVale', 'deck_toughness_5==0']
(0.20728078350582885, 'BURG', 0.6352087114337568, 'BU', 0.42792792792792794);['deck_power_5==1', 'deck_power_1==1', 'deck_toughness_5==0']
(0.20728078350582885, 'BURG', 0.6352087114337568, 'BU', 0.42792792792792794);['deck_power_1==1', 'deck_power_5==1', 'deck_toughness_5==0']
(0.20724803042651446, 'WBGU', 0.6161369193154034, 'BU', 0.4088888888888889);['deck_toughness_2==2', 'deck_SnowCoveredIsland', 'deck_types_Enchantment==1']
(0.20724803042651446, 'WBGU', 0.6161369193154034, 'BU', 0.4088888888888889);['deck_SnowCoveredIsland', 'deck_toughness_2==2', 'deck_types_Enchantment==1']
(0.20697712329511492, 'WBUG', 0.6485355648535565, 'BU', 0.44155844155844154);['deck_ShimmerdriftVale', 'deck_power_1==1', 'deck_power_2==1']
(0.20697712329511492, 'WBUG', 0.6485355648535565, 'BU', 0.44155844155844154);['deck_power_1==1', 'deck_ShimmerdriftVale', 'deck_power_2==1']
(0.20690330477356184, 'BURG', 0.6673684210526316, 'BU', 0.4604651162790698);['deck_toughness_6==1', 'deck_types_Creature==3', 'deck_toughness_5==0']
(0.20690330477356184, 'BURG', 0.6673684210526316, 'BU', 0.4604651162790698);['deck_types_Creature==3', 'deck_toughness_6==1', 'deck_toughness_5==0']
(0.20681818181818185, 'BGRU', 0.625, 'BU', 0.41818181818181815);['deck_power_3==2', 'deck_GiantsAmulet', 'deck_toughness_8==0']
(0.20681818181818185, 'BGRU', 0.625, 'BU', 0.41818181818181815);['deck_power_3==2', 'deck_GiantsAmulet', 'deck_power_8==0']
(0.20681818181818185, 'BGRU', 0.625, 'BU', 0.41818181818181815);['deck_GiantsAmulet', 'deck_power_3==2', 'deck_toughness_8==0']
(0.20681818181818185, 'BGRU', 0.625, 'BU', 0.41818181818181815);['deck_GiantsAmulet', 'deck_power_3==2', 'deck_power_8==0']
(0.20666691150366645, 'WBUG', 0.6541554959785523, 'BU', 0.4474885844748858);['deck_power_5==1', 'deck_toughness_3==1', 'deck_types_ArtifactCreature==0']
(0.20666691150366645, 'WBUG', 0.6541554959785523, 'BU', 0.4474885844748858);['deck_toughness_3==1', 'deck_power_5==1', 'deck_types_ArtifactCreature==0']
