Quality;Description
(0.23241311533994463, 'UBWG', 0.6536585365853659, 'UBW', 0.42124542124542125);['deck_DraugrRecruiter_1', 'deck_BoundinGold_0', 'deck_HailstormValkyrie_0']
(0.23241311533994463, 'UBWG', 0.6536585365853659, 'UBW', 0.42124542124542125);['deck_DraugrRecruiter_1', 'deck_HailstormValkyrie_0', 'deck_BoundinGold_0']
(0.23219315240219457, 'UBWG', 0.6485355648535565, 'UBW', 0.4163424124513619);['deck_DraugrRecruiter_1', 'deck_StarnheimCourser_0', 'deck_TergridsShadow_0']
(0.23219315240219457, 'UBWG', 0.6485355648535565, 'UBW', 0.4163424124513619);['deck_DraugrRecruiter_1', 'deck_TergridsShadow_0', 'deck_StarnheimCourser_0']
(0.2317242839427759, 'UBWG', 0.656957928802589, 'UBW', 0.4252336448598131);['deck_VolatileFjord_1', 'deck_AscendantSpirit_0', 'deck_BindingtheOldGods_0']
(0.2317242839427759, 'UBWG', 0.656957928802589, 'UBW', 0.4252336448598131);['deck_VolatileFjord_1', 'deck_BindingtheOldGods_0', 'deck_AscendantSpirit_0']
(0.23161708619374521, 'UBWG', 0.6359649122807017, 'UBW', 0.4043478260869565);['deck_DraugrRecruiter_1', 'deck_StalwartValkyrie_0', 'deck_BindtheMonster_0']
(0.23161708619374521, 'UBWG', 0.6359649122807017, 'UBW', 0.4043478260869565);['deck_DraugrRecruiter_1', 'deck_BindtheMonster_0', 'deck_StalwartValkyrie_0']
(0.23150825482697512, 'UBWG', 0.6619718309859155, 'UBW', 0.4304635761589404);['deck_DraugrRecruiter_1', 'deck_ShepherdoftheCosmos_0', 'deck_StarnheimCourser_0']
(0.23150825482697512, 'UBWG', 0.6619718309859155, 'UBW', 0.4304635761589404);['deck_DraugrRecruiter_1', 'deck_StarnheimCourser_0', 'deck_ShepherdoftheCosmos_0']
(0.23118007856470107, 'UBWG', 0.6519721577726219, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_FrostpyreArcanist_0', 'deck_TheThreeSeasons_0']
(0.23118007856470107, 'UBWG', 0.6519721577726219, 'UBW', 0.4207920792079208);['deck_FrostpyreArcanist_0', 'deck_VolatileFjord_1', 'deck_TheThreeSeasons_0']
(0.23118007856470107, 'UBWG', 0.6519721577726219, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_TheThreeSeasons_0', 'deck_FrostpyreArcanist_0']
(0.23118007856470107, 'UBWG', 0.6519721577726219, 'UBW', 0.4207920792079208);['deck_TheThreeSeasons_0', 'deck_VolatileFjord_1', 'deck_FrostpyreArcanist_0']
(0.2311426794853399, 'UBWG', 0.6618357487922706, 'UBW', 0.4306930693069307);['deck_VolatileFjord_1', 'deck_HighlandForest_0', 'deck_StalwartValkyrie_0']
(0.2311426794853399, 'UBWG', 0.6618357487922706, 'UBW', 0.4306930693069307);['deck_VolatileFjord_1', 'deck_StalwartValkyrie_0', 'deck_HighlandForest_0']
(0.23101635514018692, 'UBWG', 0.65625, 'UBW', 0.4252336448598131);['deck_VolatileFjord_1', 'deck_AscendantSpirit_0', 'deck_HighlandForest_0']
(0.23101635514018692, 'UBWG', 0.65625, 'UBW', 0.4252336448598131);['deck_VolatileFjord_1', 'deck_HighlandForest_0', 'deck_AscendantSpirit_0']
(0.2308362989323844, 'UBWG', 0.665, 'UBW', 0.43416370106761565);['deck_DraugrRecruiter_1', 'deck_ShepherdoftheCosmos_0', 'deck_GatesofIstfell_0']
(0.2308362989323844, 'UBWG', 0.665, 'UBW', 0.43416370106761565);['deck_DraugrRecruiter_1', 'deck_GatesofIstfell_0', 'deck_ShepherdoftheCosmos_0']
