Quality;Description
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'PaulPogba==1', 'ChrisSmalling==1', 'DaviddeGeaQuintana==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'PaulPogba==1', 'DaviddeGeaQuintana==1', 'ChrisSmalling==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'PaulPogba==1', 'DaviddeGeaQuintana==1', 'NemanjaMatić==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'PaulPogba==1', 'NemanjaMatić==1', 'DaviddeGeaQuintana==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'ChrisSmalling==1', 'PaulPogba==1', 'DaviddeGeaQuintana==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'ChrisSmalling==1', 'DaviddeGeaQuintana==1', 'PaulPogba==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'DaviddeGeaQuintana==1', 'PaulPogba==1', 'ChrisSmalling==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'DaviddeGeaQuintana==1', 'PaulPogba==1', 'NemanjaMatić==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'DaviddeGeaQuintana==1', 'ChrisSmalling==1', 'PaulPogba==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'DaviddeGeaQuintana==1', 'NemanjaMatić==1', 'PaulPogba==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'NemanjaMatić==1', 'PaulPogba==1', 'DaviddeGeaQuintana==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'NemanjaMatić==1', 'DaviddeGeaQuintana==1', 'PaulPogba==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SteveCook==1', 'SimonFrancis==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SteveCook==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SteveCook==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SimonFrancis==1', 'SteveCook==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SimonFrancis==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SimonFrancis==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'CallumWilson==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'NathanAké==1', 'SteveCook==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'NathanAké==1', 'SimonFrancis==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'NathanAké==1', 'JoshuaKing==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'NathanAké==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'JoshuaKing==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'JoshuaKing==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'AsmirBegović==1', 'SteveCook==1']
